Country	StockCode	Description	Sum of Revenue	TopValue
Unspecified	23313	VINTAGE CHRISTMAS BUNTING	29.7	0
Unspecified	20725	LUNCH BAG RED RETROSPOT	28.05	0
Unspecified	46000M	POLYESTER FILLER PAD 45x45cm	27.9	0
Unspecified	84077	WORLD WAR 2 GLIDERS ASSTD DESIGNS	27.84	0
Unspecified	22745	POPPY'S PLAYHOUSE BEDROOM	27.3	0
Unspecified	22746	POPPY'S PLAYHOUSE LIVINGROOM	27.3	0
Unspecified	22748	POPPY'S PLAYHOUSE KITCHEN	27.3	0
Unspecified	22150	3 STRIPEY MICE FELTCRAFT	27.3	0
Unspecified	23084	RABBIT NIGHT LIGHT	27.04	0
Unspecified	84992	72 SWEETHEART FAIRY CAKE CASES	26.4	0
Unspecified	46000S	POLYESTER FILLER PAD 40x40cm	26.1	0
Unspecified	22439	6 ROCKET BALLOONS	26	0
Unspecified	22423	REGENCY CAKESTAND 3 TIER	25.5	0
Unspecified	22625	RED KITCHEN SCALES	25.5	0
Unspecified	22845	VINTAGE CREAM CAT FOOD CONTAINER	25.4	0
Unspecified	21907	I'M ON HOLIDAY METAL SIGN	25.2	0
Unspecified	21908	CHOCOLATE THIS WAY METAL SIGN	25.2	0
Unspecified	22149	FELTCRAFT 6 FLOWER FRIENDS	25.2	0
Unspecified	82582	AREA PATROLLED METAL SIGN	25.2	0
Unspecified	21892	TRADITIONAL WOODEN CATCH CUP GAME	25	0
Unspecified	23159	SET OF 5 PANCAKE DAY MAGNETS	24.96	0
Unspecified	23237	SET OF 4 KNICK KNACK TINS LEAVES	24.9	0
Unspecified	23239	SET OF 4 KNICK KNACK TINS POPPIES	24.9	0
Unspecified	23127	FELTCRAFT GIRL NICOLE KIT	24.75	0
Unspecified	22840	ROUND CAKE TIN VINTAGE RED	23.85	0
Unspecified	22631	CIRCUS PARADE LUNCH BOX	23.4	0
Unspecified	21637	ASSORTED SANSKRIT MINI NOTEBOOK	22.5	0
Unspecified	21912	VINTAGE SNAKES & LADDERS	22.5	0
Unspecified	23119	PACK OF 6 LARGE FRUIT STRAWS	22.32	0
Unspecified	22556	PLASTERS IN TIN CIRCUS PARADE	21.45	0
Unspecified	21380	WOODEN HAPPY BIRTHDAY GARLAND	20.65	0
Unspecified	40001	WHITE BAMBOO RIBS LAMPSHADE	20.4	0
Unspecified	71459	HANGING JAM JAR T-LIGHT HOLDER	20.4	0
Unspecified	21212	PACK OF 72 RETROSPOT CAKE CASES	20.35	0
Unspecified	21833	CAMOUFLAGE LED TORCH	20.28	0
Unspecified	23369	SET 36 COLOUR PENCILS LOVE LONDON	20	0
Unspecified	23371	SET 36 COLOUR PENCILS SPACEBOY	20	0
Unspecified	22628	PICNIC BOXES SET OF 3 RETROSPOT	19.8	0
Unspecified	22952	60 CAKE CASES VINTAGE CHRISTMAS	19.8	0
Unspecified	23126	FELTCRAFT GIRL AMELIE KIT	19.8	0
Unspecified	23245	SET OF 3 REGENCY CAKE TINS	19.8	0
Unspecified	23355	HOT WATER BOTTLE KEEP CALM	19.8	0
Unspecified	23569	TRADTIONAL ALPHABET STAMP SET	19.8	0
Unspecified	21705	BAG 500g SWIRLY MARBLES	19.8	0
Unspecified	21731	RED TOADSTOOL LED NIGHT LIGHT	19.8	0
Unspecified	22554	PLASTERS IN TIN WOODLAND ANIMALS	19.8	0
Unspecified	22557	PLASTERS IN TIN VINTAGE PAISLEY	19.8	0
Unspecified	23301	GARDENERS KNEELING PAD KEEP CALM	19.8	0
Unspecified	23571	TRADITIONAL NAUGHTS & CROSSES	19.8	0
Unspecified	20983	12 PENCILS TALL TUBE RED RETROSPOT	19.55	0
Unspecified	22653	BUTTON BOX	19.5	0
Unspecified	22853	CAT BOWL VINTAGE CREAM	19.5	0
Unspecified	22989	SET 2 PANTRY DESIGN TEA TOWELS	19.5	0
Unspecified	47021G	SET/6 BEAD COASTERS GAUZE BAG GOLD	18.72	0
Unspecified	22437	SET OF 9 BLACK SKULL BALLOONS	18.7	0
Unspecified	23079	TOADSTOOL BEDSIDE LIGHT	17.9	0
Unspecified	22326	ROUND SNACK BOXES SET OF4 WOODLAND	17.7	0
Unspecified	22413	METAL SIGN TAKE IT OR LEAVE IT	17.7	0
Unspecified	47369A	PINK GREEN EMBROIDERY COSMETIC BAG	17.7	0
Unspecified	21210	SET OF 72 RETROSPOT PAPER  DOILIES	17.4	0
Unspecified	21211	SET OF 72 SKULL PAPER  DOILIES	17.4	0
Unspecified	21973	SET OF 36 MUSHROOM PAPER DOILIES	17.4	0
Unspecified	21974	SET OF 36 PAISLEY FLOWER DOILIES	17.4	0
Unspecified	22950	36 DOILIES VINTAGE CHRISTMAS	17.4	0
Unspecified	22627	MINT KITCHEN SCALES	17	0
Unspecified	22844	VINTAGE CREAM DOG FOOD CONTAINER	17	0
Unspecified	22846	BREAD BIN DINER STYLE RED	16.95	0
Unspecified	23008	DOLLY GIRL BABY GIFT SET	16.95	0
Unspecified	23045	PAPER LANTERN 5 POINT STAR MOON	16.6	0
Unspecified	23255	CHILDRENS CUTLERY CIRCUS PARADE	16.6	0
Unspecified	84997D	CHILDRENS CUTLERY POLKADOT PINK	16.6	0
Unspecified	22382	LUNCH BAG SPACEBOY DESIGN	16.5	0
Unspecified	22652	TRAVEL SEWING KIT	16.5	0
Unspecified	22662	LUNCH BAG DOLLY GIRL DESIGN	16.5	0
Unspecified	23080	RED METAL BOX TOP SECRET	16.5	0
Unspecified	23081	GREEN METAL BOX ARMY SUPPLIES	16.5	0
Unspecified	47590A	BLUE HAPPY BIRTHDAY BUNTING	16.35	0
Unspecified	47590B	PINK HAPPY BIRTHDAY BUNTING	16.35	0
Unspecified	22585	PACK OF 6 BIRDY GIFT TAGS	16.25	0
Unspecified	20981	12 PENCILS TALL TUBE WOODLAND	16.15	0
Unspecified	20685	DOORMAT RED RETROSPOT	15.9	0
Unspecified	22691	DOORMAT WELCOME SUNRISE	15.9	0
Unspecified	22841	ROUND CAKE TIN VINTAGE GREEN	15.9	0
Unspecified	48116	DOORMAT MULTICOLOUR STRIPE	15.9	0
Unspecified	20973	12 PENCIL SMALL TUBE WOODLAND	15.6	0
Unspecified	20975	12 PENCILS SMALL TUBE RED RETROSPOT	15.6	0
Unspecified	22924	FRIDGE MAGNETS LA VIE EN ROSE	15.3	0
Unspecified	82482	WOODEN PICTURE FRAME WHITE FINISH	15.3	0
Unspecified	23310	BUBBLEGUM RING ASSORTED	15.12	0
Unspecified	20972	PINK CREAM FELT CRAFT TRINKET BOX	15	0
Unspecified	20985	HEART CALCULATOR	15	0
Unspecified	21914	BLUE HARMONICA IN BOX	15	0
Unspecified	21915	RED  HARMONICA IN BOX	15	0
Unspecified	22178	VICTORIAN GLASS HANGING T-LIGHT	15	0
Unspecified	22559	SEASIDE FLYING DISC	15	0
Unspecified	22758	LARGE PURPLE BABUSHKA NOTEBOOK	15	0
Unspecified	22993	SET OF 4 PANTRY JELLY MOULDS	15	0
Unspecified	23570	TRADITIONAL PICK UP STICKS GAME	15	0
Unspecified	22838	3 TIER CAKE TIN RED AND CREAM	14.95	0
Unspecified	22839	3 TIER CAKE TIN GREEN AND CREAM	14.95	0
Unspecified	23319	BOX OF 6 MINI 50'S CRACKERS	14.94	0
Unspecified	22112	CHOCOLATE HOT WATER BOTTLE	14.85	0
Unspecified	23309	SET OF 60 I LOVE LONDON CAKE CASES	14.85	0
Unspecified	85125	SMALL ROUND CUT GLASS CANDLESTICK	14.85	0
Unspecified	22911	PAPER CHAIN KIT LONDON	14.75	0
Unspecified	22964	3 PIECE SPACEBOY COOKIE CUTTER SET	14.7	0
Unspecified	21976	PACK OF 60 MUSHROOM CAKE CASES	14.3	0
Unspecified	21977	PACK OF 60 PINK PAISLEY CAKE CASES	14.3	0
Unspecified	84991	60 TEATIME FAIRY CAKE CASES	14.3	0
Unspecified	23046	PAPER LANTERN 9 POINT DELUXE STAR	13.3	0
Unspecified	21213	PACK OF 72 SKULL CAKE CASES	13.2	0
Unspecified	20727	LUNCH BAG  BLACK SKULL.	13.2	0
Unspecified	22759	SET OF 3 NOTEBOOKS IN PARCEL	13.2	0
Unspecified	84813	SET OF 4 DIAMOND NAPKIN RINGS	12.75	0
Unspecified	22899	CHILDREN'S APRON DOLLY GIRL	12.6	0
Unspecified	20679	EDWARDIAN PARASOL RED	11.9	0
Unspecified	21065	BOOM BOX SPEAKER GIRLS	11.9	0
Unspecified	22540	MINI JIGSAW CIRCUS PARADE	11.76	0
Unspecified	21156	RETROSPOT CHILDRENS APRON	11.7	0
Unspecified	22367	CHILDRENS APRON SPACEBOY DESIGN	11.7	0
Unspecified	22434	BALLOON PUMP WITH 10 BALLOONS	11.7	0
Unspecified	84378	SET OF 3 HEART COOKIE CUTTERS	11.65	0
Unspecified	22553	PLASTERS IN TIN SKULLS	11.55	0
Unspecified	84548	CROCHET BEAR RED/BLUE  KEYRING	11.55	0
Unspecified	21843	RED RETROSPOT CAKE STAND	10.95	0
Unspecified	22529	MAGIC DRAWING SLATE GO TO THE FAIR	10.92	0
Unspecified	22531	MAGIC DRAWING SLATE CIRCUS PARADE	10.92	0
Unspecified	16161P	WRAP ENGLISH ROSE	10.5	0
Unspecified	16161U	WRAP SUKI AND FRIENDS	10.5	0
Unspecified	21497	FANCY FONTS BIRTHDAY WRAP	10.5	0
Unspecified	21499	BLUE POLKADOT WRAP	10.5	0
Unspecified	21500	PINK POLKADOT WRAP	10.5	0
Unspecified	21503	TOYBOX  WRAP	10.5	0
Unspecified	22046	TEA PARTY  WRAPPING PAPER	10.5	0
Unspecified	22047	EMPIRE GIFT WRAP	10.5	0
Unspecified	22048	BIRTHDAY BANQUET GIFT WRAP	10.5	0
Unspecified	22050	PINK PAISLEY ROSE GIFT WRAP	10.5	0
Unspecified	22051	BLUE SCANDINAVIAN PAISLEY WRAP	10.5	0
Unspecified	22541	MINI JIGSAW LEAP FROG	10.5	0
Unspecified	22707	WRAP MONSTER FUN	10.5	0
Unspecified	22709	WRAP WEDDING DAY	10.5	0
Unspecified	22711	WRAP CIRCUS PARADE	10.5	0
Unspecified	22985	WRAP BILLBOARD FONTS DESIGN	10.5	0
Unspecified	22986	GINGHAM ROSE WRAP	10.5	0
Unspecified	23231	WRAP DOILEY DESIGN	10.5	0
Unspecified	23232	WRAP VINTAGE PETALS  DESIGN	10.5	0
Unspecified	23233	WRAP POPPIES  DESIGN	10.5	0
Unspecified	23546	WRAP PAISLEY PARK	10.5	0
Unspecified	20982	12 PENCILS TALL TUBE SKULLS	10.2	0
Unspecified	21704	BAG 250g SWIRLY MARBLES	10.2	0
Unspecified	22604	SET OF 4 NAPKIN CHARMS CUTLERY	10.2	0
Unspecified	22754	SMALL RED BABUSHKA NOTEBOOK	10.2	0
Unspecified	23068	ALUMINIUM STAMPED HEART	9.96	0
Unspecified	23090	VINTAGE GLASS T-LIGHT HOLDER	9.96	0
Unspecified	23122	PARTY CHARMS 50 PIECES	9.96	0
Unspecified	22139	RETROSPOT TEA SET CERAMIC 11 PC	9.9	0
Unspecified	22992	REVOLVER WOODEN RULER	9.75	0
Unspecified	21634	ASSORTED MINI MADRAS NOTEBOOK	9.36	0
Unspecified	79030D	TUMBLER BAROQUE	9.36	0
Unspecified	85180A	RED HEARTS LIGHT CHAIN	9.3	0
Unspecified	21055	TOOL BOX SOFT TOY	8.95	0
Unspecified	21056	DOCTOR'S BAG SOFT TOY	8.95	0
Unspecified	22083	PAPER CHAIN KIT RETROSPOT	8.85	0
Unspecified	22288	HANGING METAL RABBIT DECORATION	8.75	0
Unspecified	21002	ROSE DU SUD DRAWSTRING BAG	8.5	0
Unspecified	85227	SET OF 6 3D KIT CARDS FOR KIDS	8.5	0
Unspecified	23507	MINI PLAYING CARDS BUFFALO BILL	8.4	0
Unspecified	84997C	CHILDRENS CUTLERY POLKADOT BLUE	8.3	0
Unspecified	23284	DOORMAT KEEP CALM AND COME IN	7.95	0
Unspecified	22196	SMALL HEART MEASURING SPOONS	7.65	0
Unspecified	21125	SET 6 FOOTBALL CELEBRATION CANDLES	7.5	0
Unspecified	22128	PARTY CONES CANDY ASSORTED	7.5	0
Unspecified	22548	HEADS AND TAILS SPORTING FUN	7.5	0
Unspecified	22550	HOLIDAY FUN LUDO	7.5	0
Unspecified	23082	SET 6 PAPER TABLE LANTERN HEARTS	7.5	0
Unspecified	23083	SET 6 PAPER TABLE LANTERN STARS	7.5	0
Unspecified	21790	VINTAGE SNAP CARDS	6.8	0
Unspecified	85172	HYACINTH BULB T-LIGHT CANDLES	6.72	0
Unspecified	85175	CACTI T-LIGHT CANDLES	6.72	0
Unspecified	84375	SET OF 20 KIDS COOKIE CUTTERS	6.3	0
Unspecified	21126	SET OF 6 GIRLS CELEBRATION CANDLES	6.25	0
Unspecified	23055	IVORY CHANDELIER T-LIGHT HOLDER	6.25	0
Unspecified	21064	BOOM BOX SPEAKER BOYS	5.95	0
Unspecified	22320	BIRDS MOBILE VINTAGE DESIGN	5.95	0
Unspecified	22499	WOODEN UNION JACK BUNTING	5.95	0
Unspecified	22580	ADVENT CALENDAR GINGHAM SACK	5.95	0
Unspecified	22991	GIRAFFE WOODEN RULER	5.85	0
Unspecified	21108	FAIRY CAKE FLANNEL ASSORTED COLOUR	5.1	0
Unspecified	21558	SKULL LUNCH BOX WITH CUTLERY	5.1	0
Unspecified	21559	STRAWBERRY LUNCH BOX WITH CUTLERY	5.1	0
Unspecified	22129	PARTY CONES CANDY TREE DECORATION	5.1	0
Unspecified	84012	MAGIC SHEEP WOOL GROWING FROM PAPER	5.1	0
Unspecified	20868	SILVER FABRIC MIRROR	5.07	0
Unspecified	20869	GOLD FABRIC MIRROR	5.07	0
Unspecified	16012	FOOD/DRINK SPONGE STICKERS	5.04	0
Unspecified	21703	BAG 125g SWIRLY MARBLES	5.04	0
Unspecified	22815	CARD PSYCHEDELIC APPLES	5.04	0
Unspecified	20977	36 PENCILS TUBE WOODLAND	5	0
Unspecified	22289	HANGING METAL CHICKEN DECORATION	5	0
Unspecified	21770	OPEN CLOSED METAL SIGN	4.95	0
Unspecified	22325	MOBILE VINTAGE HEARTS	4.95	0
Unspecified	23128	FELTCRAFT BOY JEAN-PAUL KIT	4.95	0
Unspecified	22076	6 RIBBONS EMPIRE	4.95	0
Unspecified	22906	12 MESSAGE CARDS WITH ENVELOPES	4.95	0
Unspecified	85179A	GREEN BITTY LIGHT CHAIN	4.65	0
Unspecified	85179C	PINK BITTY LIGHT CHAIN	4.65	0
Unspecified	85180B	PINK HEARTS LIGHT CHAIN	4.65	0
Unspecified	22549	PICTURE DOMINOES	4.35	0
Unspecified	22497	SET OF 2 TINS VINTAGE BATHROOM	4.25	0
Unspecified	22834	HAND WARMER BABUSHKA DESIGN	4.2	0
Unspecified	23339	EGG FRYING PAN BLUE	4.16	0
Unspecified	23012	GLASS APOTHECARY BOTTLE PERFUME	3.95	0
Unspecified	23014	GLASS APOTHECARY BOTTLE ELIXIR	3.95	0
Unspecified	20819	SILVER TEDDY BEAR	3.75	0
Unspecified	21591	COSY HOUR CIGAR BOX MATCHES	3.75	0
Unspecified	21592	RETROSPOT CIGAR BOX MATCHES	3.75	0
Unspecified	22570	FELTCRAFT CUSHION RABBIT	3.75	0
Unspecified	22727	ALARM CLOCK BAKELIKE RED	3.75	0
Unspecified	22750	FELTCRAFT PRINCESS LOLA DOLL	3.75	0
Unspecified	23183	MOTHER'S KITCHEN SPOON REST	3.75	0
Unspecified	84912B	GREEN ROSE WASHBAG	3.75	0
Unspecified	85212	MINI PAINTED GARDEN DECORATION	3.48	0
Unspecified	85213	MINI  ZINC GARDEN DECORATIONS	3.48	0
Unspecified	22449	SILK PURSE BABUSHKA PINK	3.35	0
Unspecified	22450	SILK PURSE BABUSHKA BLUE	3.35	0
Unspecified	21260	FIRST AID TIN	3.25	0
Unspecified	22900	SET 2 TEA TOWELS I LOVE LONDON	3.25	0
Unspecified	84459A	PINK METAL CHICKEN HEART	2.98	0
Unspecified	21733	RED HANGING HEART T-LIGHT HOLDER	2.95	0
Unspecified	22085	PAPER CHAIN KIT SKULLS	2.95	0
Unspecified	22317	FIVE CATS HANGING DECORATION	2.95	0
Unspecified	22700	BLACK AND WHITE DOG BOWL	2.95	0
Unspecified	22701	PINK DOG BOWL	2.95	0
Unspecified	22904	CALENDAR PAPER CUT DESIGN	2.95	0
Unspecified	79302M	"ART LIGHTS,FUNK MONKEY"	2.95	0
Unspecified	20772	GARDEN PATH JOURNAL	2.55	0
